seed,DistanceA 1,DistanceA 2,DistanceA 3,DistanceA 4,DistanceA 5,DistanceA 6,DistanceA 7,DistanceA 8,DistanceA 9,DistanceA 10,DistanceA 11,DistanceA 12,DistanceA 13,DistanceA 14,DistanceA 15,DistanceA 16,DistanceA 17,DistanceA 18,DistanceA 19,DistanceA 20,DistanceA 21,DistanceA 22,DistanceA 23,DistanceA 24,DistanceB 1,DistanceB 2,DistanceB 3,DistanceB 4,DistanceB 5,DistanceB 6,DistanceB 7,DistanceB 8,DistanceB 9,DistanceB 10,DistanceB 11,DistanceB 12,DistanceB 13,DistanceB 14,DistanceB 15,DistanceB 16,DistanceB 17,DistanceB 18,DistanceB 19,DistanceB 20,DistanceB 21,DistanceB 22,DistanceB 23,DistanceB 24
1469729742904,130.83195,203.4232,372.3681,138.68309,288.92386,112.64546,98.65597,167.96725,276.81763,166.1716,90.73588,109.65856,156.05127,167.0479,170.17932,93.52005,68.42514,180.41342,147.43474,97.123634,116.297035,268.15295,827.51013,118.29624,77.23341,116.73046,108.706024,167.72,164.53874,201.24612,137.23338,203.76947,191.03926,97.32934,117.34564,115.43397,94.82616,118.12705,124.33825,246.44878,245.75801,420.67685,150.79124,168.64757,496.50177,545.5502,99.40322,143.40501
1469730133077,93.193344,108.93117,78.51752,89.0,83.546394,342.0526,279.51746,139.12944,155.75623,204.1666,108.90822,80.411446,155.91344,110.11358,125.71794,361.5536,156.46725,68.88396,122.588745,605.7607,172.69916,117.32433,113.22544,449.4908,130.06152,134.0597,90.24966,190.06578,128.40561,328.49353,420.23328,274.88544,160.11246,82.346825,92.64988,140.07141,251.79356,97.5141,118.5327,275.18176,90.24411,90.80198,181.94505,96.26006,191.2616,247.09917,322.85135,178.70926
1469730854206,84.92938,159.76546,93.26307,165.65627,258.04263,239.8708,346.6771,102.259476,108.461975,181.20706,123.47064,118.33005,180.06943,141.22676,132.18547,85.58621,98.0816,228.25424,465.5502,202.42776,172.18594,818.8492,162.63148,94.89468,75.802376,90.07774,126.06348,130.1768,161.96605,349.5726,171.4322,124.277916,220.1454,113.59577,113.265175,159.9625,170.42593,124.80785,165.59288,406.78494,159.23882,875.61005,184.25255,109.48972,84.40379,147.03061,76.922035,172.81783
1469731572082,170.6722,68.24954,79.30952,129.40247,127.01575,148.07092,154.08115,145.6022,150.05333,192.25504,123.081276,122.384636,97.94386,91.92388,173.34937,124.08465,140.0357,174.04022,301.49628,134.00374,124.3101,370.3971,122.18429,628.0836,83.0542,122.641754,161.07452,112.871605,157.0987,80.06248,110.724884,115.83177,108.706024,283.87674,117.99152,149.2012,209.0287,181.40012,176.5701,139.03236,278.2984,286.92334,433.80295,93.60021,526.343,244.0,372.87665,249.04617
1469732412696,95.77578,114.28473,92.31468,169.14491,98.84331,108.84852,142.6359,147.73286,126.24183,95.047356,133.41664,112.805145,271.737,241.85326,356.1025,890.0809,97.52948,266.17474,207.77151,77.155685,68.41052,198.1237,87.28116,535.0224,88.20431,138.52075,100.0,129.40247,142.33763,108.25895,189.04233,94.86833,160.46184,133.45412,80.06248,188.28967,113.0177,119.26861,94.42987,152.94771,115.767006,80.06248,620.0653,306.11108,195.20502,97.41663,490.63327,666.0368
1469733012489,198.658,74.54529,283.78162,159.76546,170.10585,224.72205,213.49005,186.4886,97.862144,72.1734,85.90693,204.47249,79.07591,108.461975,163.00307,104.21612,291.2473,73.24616,146.03082,396.1616,537.73694,114.061386,100.31949,125.92458,171.94476,96.67471,219.12553,168.29736,116.21101,89.961105,99.48869,212.0,184.70787,146.03082,110.49435,107.33592,233.4652,122.52755,187.0401,134.72935,178.8435,72.94518,423.73813,1064.3204,145.34442,165.46902,163.2299,109.65856
1469734002171,162.27446,101.862656,294.7711,112.805145,102.70345,93.04838,101.91173,115.52489,136.40015,94.7048,136.2094,112.200714,70.60453,424.87646,763.55615,264.04733,99.368004,282.01596,86.127815,69.92139,97.082436,187.60065,144.03125,149.40215,117.08544,340.37625,118.56222,97.20082,201.63829,425.76636,176.28386,154.11684,92.574295,69.57011,122.34786,260.16342,249.04617,121.08262,148.63715,282.02838,393.02164,99.62429,125.0,70.45566,464.88815,81.00617,118.308914,201.71762
1469734552148,83.360664,105.9481,85.86617,276.0163,172.62677,277.58423,399.8925,98.11218,69.31089,127.141655,151.95393,107.35455,171.32718,77.781746,152.31874,393.89337,84.30895,234.047,78.51752,110.47624,304.1332,402.99503,193.31322,1276.7086,157.42935,86.162636,116.275536,126.178444,80.05623,140.43147,109.165016,190.06578,194.03093,204.36487,86.46965,85.42248,209.6187,170.80106,423.20798,122.56019,91.08787,84.693565,307.69464,125.60653,229.68239,84.8646,104.47966,537.5546
1469735157706,149.33519,160.03125,114.38969,281.47647,273.06592,91.44397,193.2175,357.83377,279.63547,110.88733,149.56604,78.1089,105.75916,233.38594,92.00543,123.482796,266.7377,186.50737,154.82893,127.22421,129.29424,159.76546,417.25293,80.23092,215.678,74.672615,83.21658,167.63054,190.26297,118.258194,98.229324,150.8012,221.822,124.90396,122.12289,124.919975,116.61904,615.66876,245.42209,180.46883,183.99185,204.47493,88.68484,151.44966,168.90826,92.19544,311.12216,70.00714
1469735972461,89.140335,76.15773,137.56816,107.912,95.257545,124.48293,175.82378,139.56003,161.44658,147.10541,149.88329,181.07733,174.97714,127.440186,74.672615,84.38009,551.9873,115.41231,114.494545,253.464,96.42614,132.23087,170.4494,1205.7571,102.0833,121.49074,110.11358,91.04944,113.88591,159.8906,158.38245,72.277245,80.622574,212.4547,68.30813,95.047356,309.91934,308.37964,172.26143,130.63307,370.60086,242.52835,74.330345,155.70805,105.23308,155.6663,210.37585,212.19095
