tod,username,seed,Trial #,Trial A Time,Trial A Errors,Trial A Average Time Between Targets,Trial A Standard Devation Between Targets,Trial B Time,Trial B Errors,Trial B Average Time Between Targets,Trial B Standard Devation Between Targets
1479741312870,P16_XX,1479741312420,1,10.489,3.0,0.43704167,0.33474907,16.283,4.0,0.6784766,0.5942324
1479743643077,P16_XX,1479743642857,2,7.154,0.0,0.29808334,0.15980247,20.243,12.0,0.8434707,0.8318603
1479743702770,P16_XX,1479743702565,3,9.822,0.0,0.40925,0.2734918,9.59,0.0,0.3996004,0.23399892
