tod,username,seed,Trial #,Trial A Time,Trial A Errors,Trial A Average Time Between Targets,Trial A Standard Devation Between Targets,Trial B Time,Trial B Errors,Trial B Average Time Between Targets,Trial B Standard Devation Between Targets
1471018696792,P03_3,1471018696640,1,6.656,0.0,0.27733335,0.080013886,10.205,3.0,0.4252199,0.36116996
1471018812179,P03_3,1471018811999,2,7.825,0.0,0.32604167,0.23156954,8.222,0.0,0.34259692,0.14555925
1471019412787,P03_3,1471019412606,3,7.37,0.0,0.30708334,0.15562506,10.705,3.0,0.44605443,0.44519734
1471020014093,P03_3,1471020013909,4,9.384,1.0,0.391,0.28245693,10.289,0.0,0.42872462,0.26073715
1471020612512,P03_3,1471020612333,5,9.872,3.0,0.41133335,0.28573453,10.223,0.0,0.42597547,0.23101129
1471021213476,P03_3,1471021213294,6,8.39,3.0,0.34958336,0.32667404,10.572,2.0,0.44051456,0.27118075
1471021814400,P03_3,1471021814219,7,9.938,2.0,0.41408333,0.35228494,9.173,0.0,0.38222557,0.24645706
1471022413828,P03_3,1471022413645,8,8.503,1.0,0.35429165,0.2923426,10.171,2.0,0.42380643,0.25567132
1471023013032,P03_3,1471023012845,9,7.281,0.0,0.303375,0.16310267,14.523,2.0,0.60513765,0.83861476
1471023613273,P03_3,1471023613092,10,8.323,0.0,0.34679165,0.14753474,7.489,0.0,0.31205612,0.14241561
1471024213651,P03_3,1471024213469,11,7.189,0.0,0.29954165,0.099701636,9.205,3.0,0.38355416,0.31881016
1471024812185,P03_3,1471024812003,12,6.904,0.0,0.28766665,0.12747505,11.845,6.0,0.4935536,0.5466577
1471025412950,P03_3,1471025412768,13,7.277,0.0,0.30320835,0.13261975,12.738,4.0,0.5307626,0.4827023
1471025899737,P03_3,1471025899553,14,8.408,2.0,0.35033333,0.21873187,9.638,2.0,0.40159792,0.2737633
